Recipe_id,Region,Sub_region,Continent,"Carbohydrate, by difference (g)",Energy (kcal),Protein (g),Total lipid (fat) (g),cuisine
68274,Indian Subcontinent,Indian,Asian,165.0780,2062.9400,134.6116,98.5529,Indian Subcontinent
68275,Indian Subcontinent,Indian,Asian,0.2936,1.8400,0.1704,0.0416,Indian Subcontinent
68276,Indian Subcontinent,Indian,Asian,28.4863,600.8971,16.1971,48.1808,Indian Subcontinent
68277,Indian Subcontinent,Indian,Asian,7.0565,430.6393,70.5973,12.3272,Indian Subcontinent
68278,Indian Subcontinent,Indian,Asian,3.8193,258.8358,0.9970,28.4304,Indian Subcontinent
68279,Indian Subcontinent,Indian,Asian,33.2372,985.2233,2.3256,96.8786,Indian Subcontinent
68280,Indian Subcontinent,Indian,Asian,37.4088,402.8771,4.6773,29.2467,Indian Subcontinent
68281,Indian Subcontinent,Indian,Asian,0.6647,241.3910,0.1171,27.0548,Indian Subcontinent
68282,Indian Subcontinent,Indian,Asian,918.3610,4036.7100,43.3685,14.9585,Indian Subcontinent
68283,Indian Subcontinent,Indian,Asian,22157.0325,85045.5000,787.0875,294.6600,Indian Subcontinent
68284,Indian Subcontinent,Indian,Asian,95.5216,1237.6583,10.3709,92.0992,Indian Subcontinent
68285,Indian Subcontinent,Indian,Asian,1191.0082,4626.1521,53.9843,14.4988,Indian Subcontinent
68286,Indian Subcontinent,Indian,Asian,202.7910,1416.8030,36.8380,61.3277,Indian Subcontinent
68287,Indian Subcontinent,Indian,Asian,,,,,Indian Subcontinent
68288,Indian Subcontinent,Indian,Asian,11.1163,68.3538,2.2711,2.0421,Indian Subcontinent
68289,Indian Subcontinent,Indian,Asian,19.2905,3477.5292,389.4114,196.9978,Indian Subcontinent
68290,Indian Subcontinent,Indian,Asian,387.6671,1747.0313,34.1840,3.3604,Indian Subcontinent
68291,Indian Subcontinent,Indian,Asian,62.4621,461.6250,16.7410,19.5403,Indian Subcontinent
68292,Indian Subcontinent,Indian,Asian,31.4496,136.3220,4.0882,0.6141,Indian Subcontinent
68293,Indian Subcontinent,Indian,Asian,95.9380,929.9420,25.4554,60.9806,Indian Subcontinent
68294,Indian Subcontinent,Indian,Asian,54.7930,272.4731,11.4502,3.5999,Indian Subcontinent
68295,Indian Subcontinent,Indian,Asian,16.4461,92.7108,6.5610,2.2167,Indian Subcontinent
68296,Indian Subcontinent,Indian,Asian,22.4061,420.2770,9.9181,35.5564,Indian Subcontinent
68297,Indian Subcontinent,Indian,Asian,88.4303,667.5060,27.6076,24.6809,Indian Subcontinent
68298,Indian Subcontinent,Indian,Asian,113.1693,1991.9775,65.9467,147.5069,Indian Subcontinent
68299,Indian Subcontinent,Indian,Asian,15.8149,75.0073,3.6413,1.1293,Indian Subcontinent
68300,Indian Subcontinent,Indian,Asian,339.0222,16977.9831,339.2929,1653.2296,Indian Subcontinent
68301,Indian Subcontinent,Indian,Asian,0.6371,1.2190,0.0000,0.0000,Indian Subcontinent
68302,Indian Subcontinent,Indian,Asian,124.0281,1315.4329,58.1206,77.9146,Indian Subcontinent
68303,Indian Subcontinent,Indian,Asian,0.0000,897.9000,0.2870,101.9670,Indian Subcontinent
68304,Indian Subcontinent,Indian,Asian,166.3351,2244.4322,15.0002,177.9372,Indian Subcontinent
68305,Indian Subcontinent,Indian,Asian,96.7521,562.3639,24.4473,11.0822,Indian Subcontinent
68306,Indian Subcontinent,Indian,Asian,37.6153,389.7547,29.6703,14.6398,Indian Subcontinent
68307,Indian Subcontinent,Indian,Asian,34.7043,399.0825,19.6388,20.2402,Indian Subcontinent
68308,Indian Subcontinent,Indian,Asian,0.5036,2.3400,0.0726,0.0244,Indian Subcontinent
68309,Indian Subcontinent,Indian,Asian,82.3761,954.7003,24.3041,62.8834,Indian Subcontinent
68310,Indian Subcontinent,Indian,Asian,9.7182,670.6800,8.4158,68.3225,Indian Subcontinent
68311,Indian Subcontinent,Indian,Asian,6.0131,62.9125,4.9765,1.0425,Indian Subcontinent
68312,Indian Subcontinent,Indian,Asian,212.3583,2257.1930,33.5120,147.5549,Indian Subcontinent
68313,Indian Subcontinent,Indian,Asian,214.2104,995.6350,25.7067,5.7303,Indian Subcontinent
68314,Indian Subcontinent,Indian,Asian,8.5286,290.3900,1.5850,28.6213,Indian Subcontinent
68315,Indian Subcontinent,Indian,Asian,98.2729,432.2950,20.2035,2.8580,Indian Subcontinent
